"subj1","subj2","weight"
"Everett Fahy","Ernst Steinmann","1"
"John Pope-Hennessy","Ernst Steinmann","2"
"John Pope-Hennessy","Everett Fahy","1"
"Properzia de' Rossi","Kurt Badt","1"
"Leo Steinberg","Richard Krautheimer","1"
"Wolfgang Lotz","Richard Krautheimer","1"
"Stefano Tumidei","Richard Krautheimer","1"
"Federico Zeri","Richard Krautheimer","1"
"Stefano Tumidei","Wolfgang Lotz","1"
"Federico Zeri","Wolfgang Lotz","1"
"Federico Zeri","Stefano Tumidei","1"
"Lorenzo Ghiberti","Richard Krautheimer","1"
"Werner Cohn","Richard Krautheimer","1"
"Fritz Heinemann","Gustav Ludwig","3"
"Luisa Vertova","Leo Steinberg","1"
"Gustav Ludwig","Leo Steinberg","1"
"Fritz Heinemann","Leo Steinberg","1"
"Gustav Ludwig","Luisa Vertova","1"
"Fritz Heinemann","Luisa Vertova","1"
"Titian","Gustav Ludwig","1"
"Thomas Mann","Werner Cohn","1"
"Friedrich Nietzsche","Werner Cohn","1"
"Carlo Carrà","Werner Cohn","1"
"Mary Conazo","Werner Cohn","1"
"Kornél Fabriczy","Ernst Steinmann","1"
"John Pope-Hennessy","Kornél Fabriczy","1"
"Michelozzo","Kornél Fabriczy","1"
"Auguste Rodin","Leo Steinberg","1"
"Donatello","John Pope-Hennessy","1"
"Federico Zeri","John Pope-Hennessy","1"
"Caravaggio","Luigi Salerno","1"
"Federico Zeri","Luigi Salerno","1"
"Jan van Eyck","Julius S. Held","1"
"Anthony van Dyck","Julius S. Held","1"
"Giorgione","Ellis Waterhouse","1"
"El Greco","Ellis Waterhouse","1"
"Paris Bordone","Gustav Ludwig","1"
"Giovanni Lanfranco","Luigi Salerno","1"
"Giulio Mancini","Luigi Salerno","1"
"Filippo Napoletano","Luigi Salerno","1"
"Everett Fahy","Domenico Ghirlandaio","2"
"Everett Fahy","Apollonio di Giovanni","2"
"Everett Fahy","Fra Bartolomeo","2"
"Everett Fahy","Ridolfo del Ghirlandaio","2"
"Everett Fahy","Sandro Botticelli","2"
"Everett Fahy","Bartolomeo di Giovanni","2"
"Everett Fahy","Jacopo da Sellaio","2"
"Everett Fahy","Biagio d'Antonio","2"
"Everett Fahy","Benedetto Ghirlandaio","2"
"Everett Fahy","Michele Tosini","2"
"Everett Fahy","Domenico Ghirlandaio","2"
"Everett Fahy","Apollonio di Giovanni","2"
"Everett Fahy","Fra Bartolomeo","2"
"Everett Fahy","Ridolfo del Ghirlandaio","2"
"Everett Fahy","Sandro Botticelli","2"
"Everett Fahy","Bartolomeo di Giovanni","2"
"Everett Fahy","Jacopo da Sellaio","2"
"Everett Fahy","Biagio d'Antonio","2"
"Everett Fahy","Benedetto Ghirlandaio","2"
"Everett Fahy","Michele Tosini","2"
"Kurt Badt","Leon Battista Alberti","2"
"Kurt Badt","Baldassarre Castiglione","2"
"Kurt Badt","Baldassare Castiglione","2"
"Kurt Badt","Felice Feliciano","2"
"Kurt Badt","Joachim von Sandrart","2"
"Kurt Badt","Francis Place","2"
"Richard Krautheimer","Francesco Borromini","2"
"Richard Krautheimer","Gian Lorenzo Bernini","2"
"Richard Krautheimer","Francesco Borromini","2"
"Richard Krautheimer","Gian Lorenzo Bernini","2"
"Fritz Heinemann","Paolo Veronese","2"
"Fritz Heinemann","Palma Vecchio","2"
"Fritz Heinemann","Giovanni Bellini","2"
"Fritz Heinemann","Vittore Carpaccio","2"
"Fritz Heinemann","Giovanni Battista Cima da Conegliano","2"
"Fritz Heinemann","Cima da Conegliano","2"
"Fritz Heinemann","Titian","2"
"Fritz Heinemann","Jacopo Bassano","2"
"Fritz Heinemann","Jacopo Bassano","2"
"Fritz Heinemann","Giovanni di Niccolò Mansueti","2"
"Fritz Heinemann","Giovanni Battista Moroni","2"
"Fritz Heinemann","Bartolomeo Vivarini","2"
"Fritz Heinemann","Giovanni Battista Moroni","2"
"Fritz Heinemann","Antonio Vivarini","2"
"Fritz Heinemann","Marcello Fogolino","2"
"Fritz Heinemann","Giovanni Battista da Ponte","2"
"Fritz Heinemann","Sebastiano Ricci","2"
"Fritz Heinemann","Palma Vecchio","2"
"Fritz Heinemann","Giovanni Bellini","2"
"Fritz Heinemann","Vittore Carpaccio","2"
"Fritz Heinemann","Giovanni Battista Cima da Conegliano","2"
"Fritz Heinemann","Cima da Conegliano","2"
"Fritz Heinemann","Giovanni di Niccolò Mansueti","2"
"Fritz Heinemann","Bartolomeo Vivarini","2"
"Fritz Heinemann","Antonio Vivarini","2"
"Fritz Heinemann","Marcello Fogolino","2"
"Fritz Heinemann","Paolo Veronese","2"
"Fritz Heinemann","Jacopo Bassano","2"
"Fritz Heinemann","Jacopo Bassano","2"
"Fritz Heinemann","Giovanni Battista Moroni","2"
"Fritz Heinemann","Giovanni Battista Moroni","2"
"Fritz Heinemann","Giovanni Battista da Ponte","2"
"Fritz Heinemann","Giovanni Battista Tiepolo","2"
"Fritz Heinemann","Francesco Guardi","2"
"Fritz Heinemann","Sebastiano Ricci","2"
"Werner Cohn","Bernardino Luini","2"
"Werner Cohn","Albrecht Dürer","2"
"Werner Cohn","Hans Holbein the Younger","2"
"Werner Cohn","Filippo Lippi","2"
"Werner Cohn","Lorenzo Ghiberti","2"
"Werner Cohn","Bernardino Luini","2"
"Werner Cohn","Albrecht Dürer","2"
"Werner Cohn","Filippo Lippi","2"
"Kornél Fabriczy","Amico Aspertini","2"
"Kornél Fabriczy","Michelangelo","2"
"Stefano Tumidei","Gian Lorenzo Bernini","2"
"Stefano Tumidei","Alessandro Algardi","2"
"Stefano Tumidei","Melozzo da Forlì","2"
"Stefano Tumidei","Pierre Puget","2"
"Stefano Tumidei","Marco Palmezzano","2"
"Stefano Tumidei","Antonio Trentanove","2"
"Stefano Tumidei","Giacomo De Maria","2"
"Stefano Tumidei","Pierre Puget","2"
"Stefano Tumidei","Melozzo da Forlì","2"
"Stefano Tumidei","Marco Palmezzano","2"
"Stefano Tumidei","Giacomo De Maria","2"
"Stefano Tumidei","Gian Lorenzo Bernini","2"
"Stefano Tumidei","Alessandro Algardi","2"
"Stefano Tumidei","Pietro Bracci","2"
"Stefano Tumidei","Pierre Puget","2"
"Luisa Vertova","Titian","2"
"Luisa Vertova","Leonardo da Vinci","2"
"Luisa Vertova","Andrea Mantegna","2"
"Luisa Vertova","Bernardino Licinio","2"
"Luisa Vertova","Antonio Canova","2"
"Luisa Vertova","Domenico Morelli","2"
"Luisa Vertova","Domenico Morelli","2"
"Luisa Vertova","Leonardo da Vinci","2"
"Luisa Vertova","Andrea Mantegna","2"
"Luisa Vertova","Francesco Hayez","2"
"Luisa Vertova","Domenico Morelli","2"
"Luisa Vertova","Domenico Morelli","2"
"Ernst Steinmann","Sandro Botticelli","2"
"Ernst Steinmann","Michelangelo","2"
"Ernst Steinmann","William Shakespeare","2"
"Leo Steinberg","Francesco Borromini","2"
"Leo Steinberg","Titian","2"
"Federico Zeri","Gian Lorenzo Bernini","2"
"Federico Zeri","Caravaggio","2"
"Federico Zeri","Carlo Crivelli","2"
"Federico Zeri","Bartolomeo di Tommaso","2"
"Federico Zeri","Fra Carnevale","2"
"Federico Zeri","Donato de' Bardi","2"
"Federico Zeri","Scipione Pulzone","2"
"Federico Zeri","Carlo Crivelli","2"
"Federico Zeri","Bartolomeo di Tommaso","2"
"Federico Zeri","Fra Carnevale","2"
"Federico Zeri","Donato de' Bardi","2"
"Federico Zeri","Caravaggio","2"
"Federico Zeri","Scipione Pulzone","2"
"Federico Zeri","Giotto di Bondone","2"
"Federico Zeri","Giotto di Bondone","2"
"Federico Zeri","Donatello","2"
"Federico Zeri","Carlo Crivelli","2"
"Federico Zeri","Bartolomeo di Tommaso","2"
"Federico Zeri","Fra Carnevale","2"
"Federico Zeri","Donato de' Bardi","2"
"Federico Zeri","Gian Lorenzo Bernini","2"
"Julius S. Held","Rembrandt","2"
"Julius S. Held","Peter Paul Rubens","2"
"Julius S. Held","Pieter Brueghel the Elder","2"
"Julius S. Held","Pieter Bruegel the Elder","2"
"Julius S. Held","Jan Brueghel the Elder","2"
"John Pope-Hennessy","Sandro Botticelli","2"
"John Pope-Hennessy","Michelangelo","2"
"John Pope-Hennessy","Raphael","2"
"John Pope-Hennessy","Fra Angelico","2"
"John Pope-Hennessy","Sandro Botticelli","2"
"John Pope-Hennessy","Michelangelo","2"
"John Pope-Hennessy","Raphael","2"
"Ellis Waterhouse","Joshua Reynolds","2"
"Ellis Waterhouse","Thomas Gainsborough","2"
"Wolfgang Lotz","Gian Lorenzo Bernini","2"
"Wolfgang Lotz","Giacomo Barozzi da Vignola","2"
"Wolfgang Lotz","Galeazzo Alessi","2"
"Wolfgang Lotz","Andrea Palladio","2"
"Wolfgang Lotz","Giacomo della Porta","2"
"Wolfgang Lotz","Giacomo Barozzi da Vignola","2"
"Wolfgang Lotz","Galeazzo Alessi","2"
"Wolfgang Lotz","Andrea Palladio","2"
"Wolfgang Lotz","Giacomo della Porta","2"
"Wolfgang Lotz","Gian Lorenzo Bernini","2"
"Gustav Ludwig","Giovanni Bellini","2"
"Gustav Ludwig","Vittore Carpaccio","2"
"Julian Kliemann","Federico Zuccari","2"
"Julian Kliemann","David Bailly","2"
"Julian Kliemann","Giorgio Vasari","2"
"Julian Kliemann","Federico Zuccari","2"
"Julian Kliemann","David Bailly","2"
"Julian Kliemann","Giorgio Vasari","2"
"Luigi Salerno","Salvator Rosa","2"
"Luigi Salerno","Guercino","2"
"Luigi Salerno","Salvator Rosa","2"
